OpenTime,Open,High,Low,Close,Volume
2026-02-18 06:08:00,1999.6,2000.28,1999.6,1999.6,163.235
2026-02-18 06:09:00,1999.6,1999.6,1998.68,1999.08,24.0863
2026-02-18 06:10:00,1999.07,2000.4,1998.85,2000.08,43.6835
2026-02-18 06:11:00,2000.08,2000.29,1999.9,1999.91,22.3042
2026-02-18 06:12:00,1999.9,1999.91,1999.69,1999.9,25.9611
2026-02-18 06:13:00,1999.91,2001.37,1999.9,2000.57,51.6307
2026-02-18 06:14:00,2000.57,2000.57,1999.42,2000.16,108.5873
2026-02-18 06:15:00,2000.16,2000.72,1999.82,2000.26,117.6943
2026-02-18 06:16:00,2000.25,2000.71,1999.92,2000.54,43.5513
2026-02-18 06:17:00,2000.54,2000.64,2000.18,2000.34,21.9222
2026-02-18 06:18:00,2000.35,2000.35,1998.84,1999.09,26.922
2026-02-18 06:19:00,1999.09,1999.09,1998.93,1999.04,21.8523
2026-02-18 06:20:00,1999.04,1999.37,1999.03,1999.13,27.9916
2026-02-18 06:21:00,1999.14,1999.62,1999.03,1999.56,20.7713
2026-02-18 06:22:00,1999.55,2000.48,1999.03,2000.28,79.2081
2026-02-18 06:23:00,2000.27,2002.0,1999.35,2001.55,86.395
2026-02-18 06:24:00,2001.54,2003.31,2001.46,2002.9,545.4535
2026-02-18 06:25:00,2002.9,2003.79,2001.66,2001.94,61.9242
2026-02-18 06:26:00,2001.94,2003.71,2001.94,2003.39,49.8609
2026-02-18 06:27:00,2003.39,2006.66,2003.19,2006.26,643.7454
2026-02-18 06:28:00,2006.26,2006.26,2004.4,2004.47,119.3834
2026-02-18 06:29:00,2004.48,2005.55,2004.47,2005.31,62.3604
2026-02-18 06:30:00,2005.3,2005.3,2004.51,2005.07,65.1073
2026-02-18 06:31:00,2005.06,2006.19,2004.92,2005.94,88.6288
2026-02-18 06:32:00,2005.94,2005.94,2003.38,2004.05,114.9831
2026-02-18 06:33:00,2004.04,2004.04,2003.09,2003.69,86.6484
2026-02-18 06:34:00,2003.7,2003.77,2003.62,2003.62,31.9022
2026-02-18 06:35:00,2003.63,2003.63,2002.5,2002.63,74.9948
2026-02-18 06:36:00,2002.63,2003.63,2002.63,2003.62,142.6791
2026-02-18 06:37:00,2003.63,2005.78,2003.51,2004.8,130.9964
2026-02-18 06:38:00,2004.81,2005.76,2004.33,2004.5,108.5797
2026-02-18 06:39:00,2004.5,2004.5,2003.0,2003.2,68.2687
2026-02-18 06:40:00,2003.19,2005.08,2003.19,2005.08,88.1189
2026-02-18 06:41:00,2005.08,2005.08,2004.54,2004.78,98.099
2026-02-18 06:42:00,2004.77,2004.98,2004.15,2004.97,105.1851
2026-02-18 06:43:00,2004.98,2005.42,2004.37,2005.42,219.4836
2026-02-18 06:44:00,2005.42,2005.8,2004.74,2004.87,161.2226
2026-02-18 06:45:00,2004.88,2008.62,2004.75,2007.47,425.2531
2026-02-18 06:46:00,2007.47,2007.47,2005.23,2005.23,108.211
2026-02-18 06:47:00,2005.24,2006.31,2005.21,2005.85,102.6981
2026-02-18 06:48:00,2005.86,2005.86,2004.93,2004.93,82.1138
2026-02-18 06:49:00,2004.93,2005.2,2004.82,2005.19,54.6834
2026-02-18 06:50:00,2005.2,2005.26,2005.0,2005.06,56.8623
2026-02-18 06:51:00,2005.05,2005.2,2004.77,2004.77,29.4069
2026-02-18 06:52:00,2004.76,2004.77,2003.58,2003.7,75.0327
2026-02-18 06:53:00,2003.69,2003.74,2003.4,2003.73,41.1415
2026-02-18 06:54:00,2003.74,2003.78,2003.01,2003.02,201.043
2026-02-18 06:55:00,2003.02,2003.29,2002.03,2002.23,173.4719
2026-02-18 06:56:00,2002.23,2002.74,2002.23,2002.64,28.2947
2026-02-18 06:57:00,2002.63,2002.63,2002.3,2002.3,26.5861
2026-02-18 06:58:00,2002.3,2002.4,2002.29,2002.39,48.5622
2026-02-18 06:59:00,2002.4,2002.4,2002.0,2002.06,47.1212
2026-02-18 07:00:00,2002.06,2003.13,2002.05,2002.65,98.5866
2026-02-18 07:01:00,2002.65,2004.94,2002.64,2004.7,221.8209
2026-02-18 07:02:00,2004.7,2004.71,2004.08,2004.25,67.3399
2026-02-18 07:03:00,2004.24,2004.25,2003.79,2004.18,58.2485
2026-02-18 07:04:00,2004.17,2004.33,2004.1,2004.33,36.8782
2026-02-18 07:05:00,2004.32,2004.99,2004.32,2004.83,141.3691
2026-02-18 07:06:00,2004.82,2004.83,2002.27,2003.04,119.4438
2026-02-18 07:07:00,2003.05,2003.46,2003.04,2003.46,23.1487
2026-02-18 07:08:00,2003.46,2004.82,2003.45,2004.26,35.6737
2026-02-18 07:09:00,2004.25,2004.25,2003.26,2003.28,29.9939
2026-02-18 07:10:00,2003.28,2003.45,2002.41,2002.44,32.5689
2026-02-18 07:11:00,2002.43,2002.43,2000.44,2000.55,52.9217
2026-02-18 07:12:00,2000.55,2000.95,2000.0,2000.22,365.2276
2026-02-18 07:13:00,2000.22,2001.69,2000.09,2000.33,512.5069
2026-02-18 07:14:00,2000.34,2000.5,1999.81,1999.81,377.6575
2026-02-18 07:15:00,1999.81,2000.66,1999.81,1999.99,81.2901
2026-02-18 07:16:00,1999.99,2000.67,1999.59,2000.67,66.8763
2026-02-18 07:17:00,2000.66,2000.66,1999.58,1999.72,73.7286
2026-02-18 07:18:00,1999.72,1999.72,1999.47,1999.47,53.1989
2026-02-18 07:19:00,1999.48,1999.48,1998.8,1999.09,70.6047
2026-02-18 07:20:00,1999.1,2000.1,1999.09,1999.89,36.2946
2026-02-18 07:21:00,1999.89,1999.9,1999.32,1999.32,37.7177
2026-02-18 07:22:00,1999.32,1999.32,1997.18,1997.48,158.4885
2026-02-18 07:23:00,1997.47,1997.48,1997.18,1997.2,29.3073
2026-02-18 07:24:00,1997.2,1997.36,1996.81,1996.82,116.3292
2026-02-18 07:25:00,1996.81,1997.98,1996.71,1997.98,94.2368
2026-02-18 07:26:00,1997.98,1998.72,1997.78,1998.62,107.1062
2026-02-18 07:27:00,1998.63,1999.52,1998.62,1998.77,70.9942
2026-02-18 07:28:00,1998.77,1999.11,1998.76,1998.76,35.0103
2026-02-18 07:29:00,1998.77,1999.96,1998.76,1999.9,49.0916
2026-02-18 07:30:00,1999.89,2001.71,1999.69,2000.46,1171.426
2026-02-18 07:31:00,2000.45,2000.49,1999.92,1999.93,31.7479
2026-02-18 07:32:00,1999.92,2000.78,1999.92,2000.58,61.391
2026-02-18 07:33:00,2000.57,2000.79,2000.27,2000.28,35.1342
2026-02-18 07:34:00,2000.27,2000.28,1999.44,1999.57,67.0695
2026-02-18 07:35:00,1999.57,2001.38,1998.98,2001.37,48.0498
2026-02-18 07:36:00,2001.38,2003.35,2001.38,2003.16,96.5839
2026-02-18 07:37:00,2003.19,2003.76,2002.88,2003.75,96.221
2026-02-18 07:38:00,2003.74,2007.41,2003.67,2007.41,605.608
2026-02-18 07:39:00,2007.42,2007.89,2007.2,2007.89,150.7092
2026-02-18 07:40:00,2007.88,2009.57,2007.73,2007.74,273.1546
2026-02-18 07:41:00,2007.79,2008.44,2006.54,2007.22,230.8842
2026-02-18 07:42:00,2007.22,2007.22,2006.09,2007.17,278.9415
2026-02-18 07:43:00,2007.17,2014.7,2006.59,2012.79,1846.2017
2026-02-18 07:44:00,2012.8,2013.29,2011.43,2012.15,376.1377
2026-02-18 07:45:00,2012.15,2012.15,2010.68,2011.15,220.9088
2026-02-18 07:46:00,2011.16,2015.84,2011.15,2015.63,708.8009
2026-02-18 07:47:00,2015.64,2020.34,2014.75,2019.23,1736.1188
2026-02-18 07:48:00,2019.23,2021.68,2018.14,2021.6,693.8021
2026-02-18 07:49:00,2021.6,2023.52,2018.9,2020.06,1514.3514
2026-02-18 07:50:00,2020.06,2020.06,2019.01,2020.04,191.0816
2026-02-18 07:51:00,2020.04,2020.21,2017.67,2018.0,319.3954
2026-02-18 07:52:00,2017.95,2020.64,2017.82,2018.26,260.3926
2026-02-18 07:53:00,2018.27,2019.15,2017.98,2018.5,106.7474
2026-02-18 07:54:00,2018.51,2020.2,2018.4,2020.19,170.1539
2026-02-18 07:55:00,2020.2,2020.2,2017.8,2017.8,212.9846
2026-02-18 07:56:00,2017.8,2018.81,2017.7,2018.5,331.1471
2026-02-18 07:57:00,2018.51,2018.63,2017.43,2017.96,126.6693
2026-02-18 07:58:00,2017.97,2018.23,2017.56,2018.04,281.8022
2026-02-18 07:59:00,2018.05,2018.55,2018.01,2018.07,100.7504
2026-02-18 08:00:00,2018.06,2019.64,2017.17,2018.13,253.7737
2026-02-18 08:01:00,2018.13,2020.08,2018.12,2019.3,229.0633
2026-02-18 08:02:00,2019.29,2020.0,2018.29,2019.12,139.9127
2026-02-18 08:03:00,2019.11,2019.9,2018.38,2019.61,165.8551
2026-02-18 08:04:00,2019.61,2022.4,2017.72,2018.12,311.7213
2026-02-18 08:05:00,2018.13,2019.67,2018.12,2018.51,161.8592
2026-02-18 08:06:00,2018.5,2019.59,2018.5,2018.7,117.1281
2026-02-18 08:07:00,2018.69,2020.04,2018.34,2020.04,99.0089
2026-02-18 08:08:00,2020.03,2020.03,2018.56,2018.84,58.2394
2026-02-18 08:09:00,2018.84,2019.31,2018.25,2018.86,268.1543
2026-02-18 08:10:00,2018.86,2019.77,2018.86,2019.47,160.7213
2026-02-18 08:11:00,2019.48,2021.57,2019.48,2021.53,451.8019
2026-02-18 08:12:00,2021.52,2022.44,2020.9,2021.12,228.0083
2026-02-18 08:13:00,2021.12,2021.16,2017.25,2017.66,295.3915
2026-02-18 08:14:00,2017.65,2018.89,2017.42,2018.64,129.2767
2026-02-18 08:15:00,2018.64,2020.0,2017.82,2020.0,235.7391
2026-02-18 08:16:00,2020.0,2028.23,2020.0,2026.48,1804.5564
2026-02-18 08:17:00,2026.49,2028.02,2024.98,2026.31,361.5004
2026-02-18 08:18:00,2026.31,2030.19,2026.28,2027.54,601.3634
2026-02-18 08:19:00,2027.55,2027.74,2025.18,2026.08,159.7079
2026-02-18 08:20:00,2026.09,2026.09,2024.56,2025.62,386.7828
2026-02-18 08:21:00,2025.63,2026.67,2025.35,2026.67,287.4864
2026-02-18 08:22:00,2026.69,2029.01,2026.3,2028.17,677.5974
2026-02-18 08:23:00,2028.16,2028.43,2026.57,2026.9,118.2782
2026-02-18 08:24:00,2026.9,2033.0,2026.9,2031.93,931.6019
2026-02-18 08:25:00,2031.93,2037.26,2031.58,2036.47,1925.8488
2026-02-18 08:26:00,2036.47,2039.05,2035.17,2035.17,527.9504
2026-02-18 08:27:00,2035.18,2035.75,2030.54,2030.93,833.3308
2026-02-18 08:28:00,2030.93,2031.17,2030.2,2030.54,523.8212
2026-02-18 08:29:00,2030.54,2030.67,2029.35,2030.19,323.0411
2026-02-18 08:30:00,2030.2,2030.87,2029.07,2029.07,263.4917
2026-02-18 08:31:00,2029.06,2029.24,2028.27,2028.5,152.0054
2026-02-18 08:32:00,2028.5,2028.56,2027.16,2027.68,304.1105
2026-02-18 08:33:00,2027.68,2027.68,2026.38,2026.38,165.0442
2026-02-18 08:34:00,2026.39,2028.18,2025.99,2027.57,478.5497
2026-02-18 08:35:00,2027.56,2027.56,2025.54,2025.54,95.3463
2026-02-18 08:36:00,2025.54,2025.54,2022.67,2023.22,405.7177
2026-02-18 08:37:00,2023.23,2023.36,2021.81,2022.33,351.635
2026-02-18 08:38:00,2022.33,2022.97,2021.76,2022.45,205.8043
2026-02-18 08:39:00,2022.46,2022.66,2021.45,2022.65,157.6048
2026-02-18 08:40:00,2022.66,2023.42,2022.66,2022.92,65.0961
2026-02-18 08:41:00,2022.93,2023.89,2021.99,2023.36,163.413
2026-02-18 08:42:00,2023.37,2024.36,2023.08,2023.19,192.3195
2026-02-18 08:43:00,2023.2,2023.47,2021.45,2021.98,582.2405
2026-02-18 08:44:00,2021.98,2022.65,2020.75,2022.6,472.7354
2026-02-18 08:45:00,2022.59,2023.35,2022.5,2022.81,286.5056
2026-02-18 08:46:00,2022.81,2022.82,2021.4,2021.4,179.6435
2026-02-18 08:47:00,2021.41,2024.47,2021.4,2023.13,534.9303
2026-02-18 08:48:00,2023.12,2024.36,2022.67,2024.36,115.5602
2026-02-18 08:49:00,2024.35,2024.36,2022.55,2022.55,74.3267
2026-02-18 08:50:00,2022.55,2024.57,2020.28,2020.69,807.6653
2026-02-18 08:51:00,2020.7,2021.53,2020.39,2020.48,212.8534
2026-02-18 08:52:00,2020.48,2021.49,2019.52,2021.26,150.482
2026-02-18 08:53:00,2021.25,2021.26,2020.51,2020.51,101.7427
2026-02-18 08:54:00,2020.51,2020.72,2020.24,2020.58,90.1351
2026-02-18 08:55:00,2020.58,2020.58,2019.53,2020.09,74.2222
2026-02-18 08:56:00,2020.09,2020.87,2020.08,2020.87,104.6706
2026-02-18 08:57:00,2020.87,2021.39,2020.41,2020.42,75.0001
2026-02-18 08:58:00,2020.42,2020.89,2020.41,2020.65,26.918
2026-02-18 08:59:00,2020.66,2020.82,2020.26,2020.7,141.0937
2026-02-18 09:00:00,2020.69,2021.0,2019.99,2020.72,613.6973
2026-02-18 09:01:00,2020.72,2020.72,2018.68,2019.81,139.4494
2026-02-18 09:02:00,2019.82,2020.31,2018.01,2018.02,177.9002
2026-02-18 09:03:00,2018.01,2018.92,2017.42,2018.75,150.4464
2026-02-18 09:04:00,2018.74,2018.74,2017.0,2018.4,640.5617
2026-02-18 09:05:00,2018.4,2020.56,2018.39,2019.71,124.9245
2026-02-18 09:06:00,2019.7,2019.76,2019.01,2019.4,66.7453
2026-02-18 09:07:00,2019.4,2019.72,2018.51,2018.51,72.8989
2026-02-18 09:08:00,2018.51,2018.7,2016.52,2018.7,151.0422
2026-02-18 09:09:00,2018.69,2019.36,2017.98,2018.75,108.4443
2026-02-18 09:10:00,2018.75,2019.52,2018.01,2018.01,131.3447
2026-02-18 09:11:00,2018.02,2018.92,2017.7,2018.08,117.4763
2026-02-18 09:12:00,2018.09,2020.0,2017.7,2019.51,364.1073
2026-02-18 09:13:00,2019.52,2020.69,2019.06,2020.25,410.6481
2026-02-18 09:14:00,2020.24,2020.37,2019.23,2019.23,107.2928
2026-02-18 09:15:00,2019.24,2020.68,2019.24,2019.7,190.557
2026-02-18 09:16:00,2019.69,2019.69,2018.39,2018.41,139.3224
2026-02-18 09:17:00,2018.41,2019.54,2018.03,2019.54,68.9494
2026-02-18 09:18:00,2019.54,2019.73,2018.27,2018.86,157.9524
2026-02-18 09:19:00,2018.86,2020.16,2018.86,2020.16,58.6912
2026-02-18 09:20:00,2020.17,2020.17,2018.98,2019.79,53.8854
2026-02-18 09:21:00,2019.8,2020.44,2019.69,2020.08,65.524
2026-02-18 09:22:00,2020.08,2020.2,2019.13,2020.2,139.9375
2026-02-18 09:23:00,2020.22,2020.51,2019.72,2020.51,317.3388
2026-02-18 09:24:00,2020.5,2020.92,2020.25,2020.53,155.3792
2026-02-18 09:25:00,2020.54,2021.25,2019.9,2019.91,118.3718
2026-02-18 09:26:00,2019.9,2020.17,2019.9,2020.17,27.5145
2026-02-18 09:27:00,2020.16,2020.58,2019.21,2020.58,87.6583
2026-02-18 09:28:00,2020.58,2021.4,2020.51,2020.81,107.1917
2026-02-18 09:29:00,2020.81,2020.82,2019.69,2019.7,36.2406
2026-02-18 09:30:00,2019.7,2020.16,2019.22,2019.3,89.1916
2026-02-18 09:31:00,2019.3,2019.48,2018.12,2018.42,469.3646
2026-02-18 09:32:00,2018.41,2022.7,2018.41,2022.15,626.1275
2026-02-18 09:33:00,2022.16,2022.34,2021.22,2022.28,145.6138
2026-02-18 09:34:00,2022.29,2022.29,2021.79,2021.81,55.3207
2026-02-18 09:35:00,2021.82,2022.37,2021.46,2021.46,45.2418
2026-02-18 09:36:00,2021.45,2022.5,2021.45,2022.01,46.2315
2026-02-18 09:37:00,2022.0,2022.59,2021.52,2021.53,108.2411
2026-02-18 09:38:00,2021.53,2021.85,2021.45,2021.85,77.4015
2026-02-18 09:39:00,2021.84,2021.85,2021.07,2021.38,64.651
2026-02-18 09:40:00,2021.36,2021.53,2020.52,2020.88,52.7367
2026-02-18 09:41:00,2020.88,2021.73,2020.87,2021.45,67.3958
2026-02-18 09:42:00,2021.45,2022.32,2021.45,2022.26,41.3488
2026-02-18 09:43:00,2022.26,2022.75,2022.26,2022.39,108.7683
2026-02-18 09:44:00,2022.39,2022.44,2022.13,2022.25,101.419
2026-02-18 09:45:00,2022.25,2022.25,2021.01,2021.01,81.0999
2026-02-18 09:46:00,2021.02,2021.84,2020.64,2020.7,87.4898
2026-02-18 09:47:00,2020.7,2022.08,2020.7,2021.93,88.1909
2026-02-18 09:48:00,2021.93,2021.93,2020.4,2020.4,61.0468
2026-02-18 09:49:00,2020.41,2020.55,2019.02,2019.02,119.8652
2026-02-18 09:50:00,2019.02,2020.39,2019.02,2019.44,229.8242
2026-02-18 09:51:00,2019.43,2019.91,2018.9,2019.9,40.0815
2026-02-18 09:52:00,2019.91,2019.91,2019.31,2019.64,38.9902
2026-02-18 09:53:00,2019.65,2019.65,2017.83,2018.01,110.8828
2026-02-18 09:54:00,2018.01,2018.23,2015.82,2018.23,145.2737
2026-02-18 09:55:00,2018.23,2018.42,2017.24,2017.25,58.6296
2026-02-18 09:56:00,2017.25,2017.62,2017.09,2017.62,18.7027
2026-02-18 09:57:00,2017.62,2017.62,2016.16,2016.91,154.1457
2026-02-18 09:58:00,2016.9,2017.15,2016.74,2016.74,35.9492
2026-02-18 09:59:00,2016.74,2016.75,2016.58,2016.69,37.433
2026-02-18 10:00:00,2016.69,2017.13,2016.09,2016.09,67.2116
2026-02-18 10:01:00,2016.08,2016.08,2013.74,2014.46,246.3924
2026-02-18 10:02:00,2014.46,2014.7,2013.89,2013.9,206.8403
2026-02-18 10:03:00,2013.9,2014.79,2013.81,2014.58,77.8287
2026-02-18 10:04:00,2014.58,2015.59,2014.48,2015.51,49.213
2026-02-18 10:05:00,2015.51,2016.6,2014.81,2015.63,60.04
2026-02-18 10:06:00,2015.63,2017.46,2015.46,2015.66,60.8154
2026-02-18 10:07:00,2015.67,2017.16,2015.67,2016.71,63.02
2026-02-18 10:08:00,2016.72,2017.87,2016.71,2016.95,64.4587
2026-02-18 10:09:00,2016.94,2017.69,2016.94,2017.69,61.6252
2026-02-18 10:10:00,2017.7,2018.02,2017.58,2017.62,38.1036
2026-02-18 10:11:00,2017.63,2018.03,2017.63,2017.76,16.7607
2026-02-18 10:12:00,2017.77,2017.89,2017.76,2017.88,34.3656
2026-02-18 10:13:00,2017.88,2018.28,2017.69,2017.7,45.3824
2026-02-18 10:14:00,2017.7,2017.7,2016.57,2016.6,55.2939
2026-02-18 10:15:00,2016.61,2016.92,2015.87,2015.88,31.8228
2026-02-18 10:16:00,2015.87,2015.87,2014.98,2015.31,96.7522
2026-02-18 10:17:00,2015.3,2015.36,2014.67,2014.87,55.8053
2026-02-18 10:18:00,2014.87,2015.47,2014.47,2014.61,55.5108
2026-02-18 10:19:00,2014.6,2014.61,2013.0,2013.0,107.8464
2026-02-18 10:20:00,2013.0,2013.24,2012.64,2013.0,169.2041
2026-02-18 10:21:00,2012.99,2013.0,2011.71,2012.16,119.7539
2026-02-18 10:22:00,2012.16,2013.06,2011.42,2011.42,128.1972
2026-02-18 10:23:00,2011.42,2012.75,2011.41,2011.53,79.8285
2026-02-18 10:24:00,2011.53,2011.81,2009.74,2011.42,469.4388
2026-02-18 10:25:00,2011.42,2011.77,2009.83,2010.2,75.6328
2026-02-18 10:26:00,2010.21,2011.19,2010.21,2011.01,178.598
2026-02-18 10:27:00,2011.02,2011.34,2010.89,2010.89,53.5379
2026-02-18 10:28:00,2010.9,2011.66,2010.89,2011.51,39.4448
2026-02-18 10:29:00,2011.52,2012.19,2011.51,2012.13,183.5217
2026-02-18 10:30:00,2012.14,2012.3,2007.52,2008.87,710.1151
2026-02-18 10:31:00,2008.88,2010.03,2008.87,2009.52,122.9817
2026-02-18 10:32:00,2009.5,2010.27,2008.62,2008.87,184.3876
2026-02-18 10:33:00,2008.87,2009.59,2008.63,2009.59,60.6934
2026-02-18 10:34:00,2009.58,2009.59,2004.1,2005.48,804.4389
2026-02-18 10:35:00,2005.48,2006.24,2004.62,2005.86,160.175
2026-02-18 10:36:00,2005.86,2007.29,2005.86,2006.99,112.6397
2026-02-18 10:37:00,2006.99,2008.07,2006.21,2006.8,195.4766
2026-02-18 10:38:00,2006.8,2006.89,2005.12,2006.29,88.7695
2026-02-18 10:39:00,2006.29,2006.29,2005.57,2005.73,60.2421
2026-02-18 10:40:00,2005.71,2006.31,2005.23,2006.11,64.8485
2026-02-18 10:41:00,2006.12,2007.03,2006.11,2006.9,155.2778
2026-02-18 10:42:00,2006.9,2006.9,2004.47,2004.47,98.4076
2026-02-18 10:43:00,2004.47,2004.47,1999.27,1999.79,1673.1933
2026-02-18 10:44:00,1999.79,2000.78,1999.23,2000.08,1046.8755
2026-02-18 10:45:00,2000.09,2000.31,1998.29,2000.05,315.5757
2026-02-18 10:46:00,2000.06,2001.24,1997.47,1999.19,838.7141
2026-02-18 10:47:00,1999.2,1999.66,1996.55,1999.44,300.5485
2026-02-18 10:48:00,1999.45,2000.55,1998.86,1998.87,140.8822
2026-02-18 10:49:00,1998.86,1999.91,1998.08,1998.62,364.0135
2026-02-18 10:50:00,1998.61,1999.54,1998.2,1999.31,83.3728
2026-02-18 10:51:00,1999.32,1999.32,1995.69,1996.53,1280.8287
2026-02-18 10:52:00,1996.52,1998.24,1996.52,1997.68,872.8491
2026-02-18 10:53:00,1997.68,1998.9,1997.68,1998.87,163.8201
2026-02-18 10:54:00,1998.86,1999.26,1998.21,1998.68,80.918
2026-02-18 10:55:00,1998.68,1998.68,1996.87,1997.24,98.9105
2026-02-18 10:56:00,1997.25,1998.11,1996.61,1996.62,174.2374
2026-02-18 10:57:00,1996.62,1997.43,1996.62,1997.26,76.6851
2026-02-18 10:58:00,1997.25,1997.77,1995.55,1996.04,222.9237
2026-02-18 10:59:00,1996.05,1997.28,1995.56,1997.27,82.3915
2026-02-18 11:00:00,1997.27,1997.38,1996.86,1996.96,125.4465
2026-02-18 11:01:00,1996.96,1998.3,1996.64,1997.24,106.8816
2026-02-18 11:02:00,1997.25,1997.99,1997.03,1997.49,103.7548
2026-02-18 11:03:00,1997.49,1997.49,1995.92,1995.92,93.2253
2026-02-18 11:04:00,1995.93,1997.4,1995.05,1995.79,177.5793
2026-02-18 11:05:00,1995.79,1996.57,1995.79,1996.44,132.3868
2026-02-18 11:06:00,1996.43,1997.11,1990.11,1990.4,955.2452
2026-02-18 11:07:00,1990.41,1992.18,1988.02,1988.6,1320.4291
2026-02-18 11:08:00,1988.6,1989.17,1979.98,1982.21,1767.8371
2026-02-18 11:09:00,1982.22,1982.22,1978.02,1980.22,1391.1233
2026-02-18 11:10:00,1980.21,1980.48,1976.98,1979.01,950.706
2026-02-18 11:11:00,1979.01,1980.49,1976.57,1978.78,577.2965
2026-02-18 11:12:00,1978.79,1981.52,1978.79,1979.94,430.4437
2026-02-18 11:13:00,1979.95,1982.17,1979.33,1981.4,347.3302
2026-02-18 11:14:00,1981.4,1985.03,1981.01,1984.98,466.4808
2026-02-18 11:15:00,1984.98,1986.64,1981.92,1982.75,532.4705
2026-02-18 11:16:00,1982.75,1983.19,1980.62,1981.02,244.8043
2026-02-18 11:17:00,1981.02,1982.5,1980.72,1981.96,170.9306
2026-02-18 11:18:00,1981.95,1982.81,1980.47,1981.06,269.838
2026-02-18 11:19:00,1981.06,1982.4,1980.41,1982.06,179.5026
2026-02-18 11:20:00,1982.06,1983.6,1982.05,1982.51,179.5409
2026-02-18 11:21:00,1982.52,1982.84,1980.37,1981.89,170.9993
2026-02-18 11:22:00,1981.89,1984.55,1981.88,1983.79,160.982
2026-02-18 11:23:00,1983.79,1984.99,1983.44,1984.99,138.2247
2026-02-18 11:24:00,1984.99,1984.99,1983.78,1983.78,125.6953
2026-02-18 11:25:00,1983.78,1985.06,1983.17,1983.77,336.1081
2026-02-18 11:26:00,1983.77,1984.0,1982.05,1983.55,213.3287
2026-02-18 11:27:00,1983.56,1983.56,1982.05,1982.14,145.9599
2026-02-18 11:28:00,1982.14,1985.09,1982.14,1985.01,172.2869
2026-02-18 11:29:00,1985.0,1985.0,1982.99,1983.21,226.0895
2026-02-18 11:30:00,1983.22,1983.22,1982.13,1982.53,121.7748
2026-02-18 11:31:00,1982.53,1984.15,1982.19,1983.75,248.5838
2026-02-18 11:32:00,1983.74,1983.75,1981.63,1981.8,94.4593
2026-02-18 11:33:00,1981.81,1985.81,1981.81,1984.87,450.7714
2026-02-18 11:34:00,1984.87,1985.6,1984.04,1985.3,143.7696
2026-02-18 11:35:00,1985.29,1986.47,1984.04,1984.89,396.9718
2026-02-18 11:36:00,1984.89,1985.26,1983.98,1983.99,192.1539
2026-02-18 11:37:00,1983.99,1984.66,1982.99,1983.95,539.6832
2026-02-18 11:38:00,1983.95,1984.79,1983.43,1984.25,245.3324
2026-02-18 11:39:00,1984.24,1985.04,1983.92,1984.11,283.5649
2026-02-18 11:40:00,1984.11,1984.64,1982.71,1984.38,272.5684
2026-02-18 11:41:00,1984.39,1984.74,1984.16,1984.41,82.3655
2026-02-18 11:42:00,1984.42,1985.12,1982.45,1982.46,80.8026
2026-02-18 11:43:00,1982.45,1983.56,1982.43,1982.93,167.9689
2026-02-18 11:44:00,1982.94,1985.27,1982.93,1985.22,235.201
2026-02-18 11:45:00,1985.22,1988.59,1984.89,1987.81,356.7438
2026-02-18 11:46:00,1987.81,1987.81,1985.27,1986.01,265.6845
2026-02-18 11:47:00,1986.01,1986.81,1984.65,1986.01,213.643
2026-02-18 11:48:00,1986.02,1988.56,1986.01,1988.56,177.3236
2026-02-18 11:49:00,1988.57,1989.93,1987.96,1988.22,266.3747
2026-02-18 11:50:00,1988.21,1988.67,1987.0,1987.22,108.804
2026-02-18 11:51:00,1987.22,1987.34,1986.81,1987.09,128.6324
2026-02-18 11:52:00,1987.09,1988.6,1987.09,1987.82,125.6009
2026-02-18 11:53:00,1987.83,1988.65,1987.82,1988.29,72.6483
2026-02-18 11:54:00,1988.29,1988.45,1987.77,1988.39,92.3079
2026-02-18 11:55:00,1988.39,1988.46,1987.54,1988.04,167.4134
2026-02-18 11:56:00,1988.04,1988.04,1987.0,1987.08,165.3919
2026-02-18 11:57:00,1987.07,1987.07,1985.0,1985.56,217.0099
2026-02-18 11:58:00,1985.57,1985.57,1981.35,1982.62,309.754
2026-02-18 11:59:00,1982.62,1982.63,1981.43,1981.43,80.7548
2026-02-18 12:00:00,1981.44,1982.97,1979.8,1979.8,535.6976
2026-02-18 12:01:00,1979.8,1983.74,1979.79,1983.0,185.2673
2026-02-18 12:02:00,1983.01,1986.21,1982.42,1985.2,505.4919
2026-02-18 12:03:00,1985.19,1985.7,1983.67,1985.7,211.0409
2026-02-18 12:04:00,1985.7,1985.7,1984.32,1984.97,163.2769
2026-02-18 12:05:00,1984.98,1985.53,1984.4,1984.83,148.0205
2026-02-18 12:06:00,1984.83,1988.37,1984.5,1988.25,256.6316
2026-02-18 12:07:00,1988.25,1989.38,1987.79,1988.02,114.7662
2026-02-18 12:08:00,1988.02,1988.03,1982.79,1984.71,370.1555
2026-02-18 12:09:00,1984.7,1984.7,1982.32,1983.41,135.1285
2026-02-18 12:10:00,1983.42,1983.7,1982.82,1983.69,313.6049
2026-02-18 12:11:00,1983.7,1986.86,1983.69,1985.97,299.0942
2026-02-18 12:12:00,1985.97,1986.88,1984.54,1984.54,210.7251
2026-02-18 12:13:00,1984.55,1984.8,1984.13,1984.17,68.5856
2026-02-18 12:14:00,1984.17,1985.16,1982.98,1985.16,84.0413
2026-02-18 12:15:00,1985.15,1985.91,1984.81,1985.91,164.9919
